[2026-05-31--12-14-50 INFO actix_server::builder] starting 5 workers
[2026-05-31--12-14-50 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-05-31--12-14-50 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-05-31--12-14-51 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-05-31--12-14-55 INFO txtx::svm::deploy_program] [Recovery Instructions] - An ephemeral authority account will be created and funded to write to the buffer account.
[2026-05-31--12-14-55 INFO txtx::svm::deploy_program] [Recovery Instructions] - Please save the following information in case the deployment fails and the account needs to be recovered:
[2026-05-31--12-14-55 INFO txtx::svm::deploy_program] [Recovery Instructions] - Ephemeral authority public key: A6wEgxD5SWFu3qgET4uEDYz8v5WcEVf1atnJkkf8FiPw
[2026-05-31--12-14-55 INFO txtx::svm::deploy_program] [Recovery Instructions] - Ephemeral authority secret key: [43, 164, 119, 65, 64, 117, 20, 49, 51, 215, 221, 161, 22, 38, 65, 58, 55, 177, 0, 156, 197, 46, 231, 68, 197, 211, 100, 235, 179, 234, 11, 250, 135, 62, 105, 70, 251, 68, 155, 178, 101, 49, 73, 224, 156, 224, 224, 192, 213, 144, 212, 19, 194, 195, 127, 87, 53, 121, 203, 214, 107, 141, 198, 150]
[2026-05-31--12-14-56 INFO txtx::svm::deploy_program] Account Created - Ephemeral authority account created and funded to write to buffer
[2026-05-31--12-14-56 INFO txtx::svm::deploy_program] [Recovery Instructions] - Creating program buffer account at pubkey G8jsGqVrjkT5YS7K2hM8CNgo2w18FLcWt2MGgB3CS7D9
[2026-05-31--12-14-56 INFO txtx::svm::deploy_program] Account Created - Program buffer account created
[2026-05-31--12-14-58 INFO txtx::svm::deploy_program] Buffer Ready - Writing to buffer account is complete
[2026-05-31--12-14-59 INFO txtx::svm::deploy_program] Program Created - Program C5pqn3tYpivcZiQUhSbXeozSxZQ35P9e7VQTWzvRxr7o has been deployed
[2026-05-31--12-15-00 INFO txtx::svm::deploy_program] Complete - Ephemeral authority account closed and leftover funds returned to payer
[2026-05-31--12-16-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53428.
[2026-05-31--12-16-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53431.
[2026-05-31--12-17-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53474.
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET / HTTP/1.1" 200 4246 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.001605
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /assets/surfpool.svg HTTP/1.1" 200 6281 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.001517
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/css/19bb784c1cefdfc2.css HTTP/1.1" 200 30857 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.002913
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/webpack-e37202015d0d9f3f.js HTTP/1.1" 200 2052 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.002411
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/main-app-ad1b03e85ab82542.js HTTP/1.1" 200 218 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.000854
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/08b39ec4-b928729c1809cb2c.js HTTP/1.1" 200 2705 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.001968
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/bd665b6f-2941c3c4f32e45db.js HTTP/1.1" 200 14466 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.003742
[2026-05-31--12-18-16 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/584-b7d7a9d72e28e190.js HTTP/1.1" 200 44656 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" 0.007411
